travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
10.95,0,Human,4,0,0,99,-10.95,"-5.188575987204429,-3.596627677133287,-2.965766175687008,-3.837839309374376,-10.981074577839046"
11.883333333333333,1,Human,1,1,0,58,-11.883333333333333,"-3.629563876192696,-11.83528818167992,-6.522944756290779,-4.299018427933143,-10.09790405686481"
12.5,2,Human,4,0,0,112,-12.5,"-6.075794123096878,-3.596627677133287,-2.965766175687008,-5.5155504913329345,-12.123162422587994"
10.966666666666667,3,Human,1,0,0,118,-10.966666666666667,"-4.67405331733887,-10.542113400775552,-4.189279607216273,-4.796938114166167,-6.335888009459058"
14.2,4,Human,2,1,0,31,-14.2,"-4.717587547429993,-7.156560325071608,-13.510741262935515,-4.405685094599811,-6.306062611064078"
7.133333333333334,5,Human,4,0,0,50,-7.133333333333334,"-3.9207199840055367,-5.093470957243036,-3.51594627388294,-3.837839309374376,-7.141755674631303"
9.583333333333334,6,Human,4,0,0,93,-9.583333333333334,"-3.4883999800069203,-4.776508380031971,-3.6592796072162734,-4.243604780832834,-9.68033637395273"
8.4,7,Human,4,0,0,80,-8.4,"-3.4883999800069203,-4.0106354750399635,-2.965766175687008,-4.661550491332934,-8.36224696975114"
17.1,8,Human,1,1,0,89,-17.1,"-3.629563876192696,-16.640997538893735,-6.522944756290779,-5.01568509459981,-7.958183422184597"
9.983333333333333,9,Human,2,1,1,64,-9.983333333333333,"-4.976093724458826,-6.312540306767083,-9.931257626607092,-4.615275933267475,-4.994282890982167"
12.583333333333334,10,Human,4,0,0,116,-12.583333333333334,"-5.611909320537762,-4.8473021417066295,-4.255946273882939,-4.756938114166168,-12.337362798925087"
16.3,11,Human,1,1,1,113,-16.3,"-3.6918131111335817,-14.65872005187281,-7.710089199330412,-7.371376597291185,-5.7776162243155005"
15.516666666666667,12,Human,2,1,0,91,-15.516666666666667,"-4.376984434287491,-9.919248260057287,-15.98010835075114,-3.890439701583096,-9.602546737747677"
23.866666666666667,13,Human,1,0,1,123,-23.866666666666667,"-5.999285551513621,-23.90319830790214,-8.312532969991452,-2.885093792736676,-6.566861745418109"
10.933333333333334,14,Human,4,0,0,104,-10.933333333333334,"-3.4883999800069203,-6.545765363220461,-3.6192796072162734,-4.4836047808328345,-11.104605362267822"
19.183333333333334,15,Human,2,1,0,64,-19.183333333333334,"-4.662920880763326,-5.904033739672842,-18.53286014799901,-4.562548075679849,-6.306062611064078"
18.283333333333335,16,Human,1,1,1,101,-18.283333333333335,"-6.666783822240198,-18.248113772224496,-4.3834727072871,-5.981942599934142,-6.354282890982168"
19.066666666666666,17,Human,4,1,0,61,-19.066666666666666,"-3.629563876192696,-8.113914926723954,-9.038355805032623,-3.890439701583096,-18.258944434495078"
18.483333333333334,18,Human,4,1,0,116,-18.483333333333334,"-3.629563876192696,-7.749893658404941,-6.522944756290779,-5.302351761266477,-17.77262951699359"
19.033333333333335,19,Human,2,1,0,88,-19.033333333333335,"-4.952920880763326,-8.186560325071607,-16.959616148803924,-3.890439701583096,-8.198183422184597"
14.2,20,Human,2,1,1,84,-14.2,"-4.6567838222401985,-5.082342050125519,-14.903065435826129,-7.0122207466139805,-7.264092979452401"
6.166666666666667,21,Human,3,0,0,69,-6.166666666666667,"-3.4883999800069203,-4.080635475039963,-4.430090352439685,-6.190142122423492,-5.522554676125726"
9.716666666666667,22,Human,3,0,0,126,-9.716666666666667,"-5.591242653871096,-6.025841713365305,-3.91594627388294,-5.970217157999601,-12.324555356009558"
14.466666666666667,23,Human,4,1,0,85,-14.466666666666667,"-4.2969844342874906,-7.853226991738275,-6.522944756290779,-4.869881409013182,-15.382681385023634"
8.35,24,Human,4,0,0,77,-8.35,"-3.887386650672203,-4.343841713365304,-3.7092796072162733,-3.837839309374376,-8.234516627497104"
13.85,25,Human,1,1,1,79,-13.85,"-3.6918131111335817,-14.115810951577995,-6.356778165829681,-3.577428249917677,-5.890949557648834"
18.333333333333332,26,Human,1,1,1,105,-18.333333333333332,"-6.713450488906865,-13.912173319019765,-4.3834727072871,-4.488609266600808,-6.397616224315501"
