travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
11.15,0,Human,4,0,0,99,-11.15,"-5.188575987204429,-3.596627677133287,-2.965766175687008,-4.580271447499501,-11.050728147082875"
11.683333333333334,1,Human,1,1,0,58,-11.683333333333334,"-3.629563876192696,-11.801669898039542,-6.522944756290779,-4.299018427933143,-10.09790405686481"
11.2,2,Human,4,0,0,112,-11.2,"-6.075794123096878,-3.596627677133287,-2.965766175687008,-5.5155504913329345,-11.81951519596697"
9.633333333333333,3,Human,1,0,0,118,-9.633333333333333,"-4.67405331733887,-10.053127719166135,-4.189279607216273,-4.796938114166167,-6.335888009459058"
13.05,4,Human,2,1,0,31,-13.05,"-4.717587547429993,-7.156560325071608,-13.039802363705377,-4.405685094599811,-6.306062611064078"
7.166666666666667,5,Human,4,0,0,50,-7.166666666666667,"-4.259909320537763,-5.093470957243036,-3.51594627388294,-3.837839309374376,-7.1624364576623165"
9.766666666666667,6,Human,4,0,0,93,-9.766666666666667,"-3.4883999800069203,-4.776508380031971,-3.6592796072162734,-4.243604780832834,-9.737524623016832"
8.366666666666667,7,Human,4,0,0,80,-8.366666666666667,"-3.4883999800069203,-4.0106354750399635,-2.965766175687008,-4.661550491332934,-8.384973087048055"
18.483333333333334,8,Human,2,1,0,89,-18.483333333333334,"-3.629563876192696,-16.61561925859754,-8.915022471699292,-5.01568509459981,-7.958183422184597"
9.916666666666666,9,Human,2,1,1,64,-9.916666666666666,"-4.976093724458826,-6.312540306767083,-9.715603123858266,-4.615275933267475,-5.748759646119067"
11.3,10,Human,4,0,0,116,-11.3,"-5.611909320537762,-4.8473021417066295,-4.255946273882939,-4.756938114166168,-11.985864375285107"
13.416666666666666,11,Human,1,1,1,113,-13.416666666666666,"-3.6918131111335817,-14.218521386597686,-7.710089199330412,-7.371376597291185,-5.7776162243155005"
14.4,12,Human,2,1,0,91,-14.4,"-4.376984434287491,-9.919248260057287,-16.323615237707468,-3.890439701583096,-9.602546737747677"
23.916666666666668,13,Human,1,0,1,123,-23.916666666666668,"-5.999285551513621,-23.913170688200044,-8.312532969991452,-2.885093792736676,-6.566861745418109"
8.333333333333334,14,Human,1,0,0,104,-8.333333333333334,"-3.4883999800069203,-6.903278957243036,-3.6192796072162734,-4.4836047808328345,-11.084419689718235"
18.0,15,Human,2,1,0,64,-18.0,"-4.897003371277328,-5.904033739672842,-18.45847284995373,-4.562548075679849,-6.306062611064078"
16.75,16,Human,1,1,1,101,-16.75,"-6.666783822240198,-17.75738192088253,-4.3834727072871,-5.981942599934142,-6.354282890982168"
16.716666666666665,17,Human,4,1,0,61,-16.716666666666665,"-3.629563876192696,-8.113914926723954,-9.038355805032623,-3.890439701583096,-17.668781578962015"
16.616666666666667,18,Human,4,1,0,116,-16.616666666666667,"-3.629563876192696,-7.749893658404941,-6.522944756290779,-5.302351761266477,-17.579580573461797"
17.45,19,Human,2,1,0,88,-17.45,"-4.952920880763326,-8.186560325071607,-16.98324168630674,-3.890439701583096,-8.198183422184597"
14.216666666666667,20,Human,2,1,1,84,-14.216666666666667,"-4.6567838222401985,-5.082342050125519,-14.867591148678176,-7.0122207466139805,-7.264092979452401"
6.216666666666667,21,Human,3,0,0,69,-6.216666666666667,"-3.4883999800069203,-4.080635475039963,-4.430090352439685,-6.201831104009064,-5.522554676125726"
11.3,22,Human,4,0,0,126,-11.3,"-5.591242653871096,-6.025841713365305,-3.91594627388294,-5.970217157999601,-12.007992965723881"
7.116666666666666,23,Human,0,1,0,85,-7.116666666666666,"-4.8609208807633255,-7.853226991738275,-6.522944756290779,-4.869881409013182,-15.243626295305685"
8.333333333333334,24,Human,4,0,0,77,-8.333333333333334,"-3.887386650672203,-4.343841713365304,-3.7092796072162733,-3.837839309374376,-8.309507741831585"
13.866666666666667,25,Human,1,1,1,79,-13.866666666666667,"-3.6918131111335817,-13.908967599279748,-6.356778165829681,-3.577428249917677,-5.890949557648834"
18.15,26,Human,1,1,1,105,-18.15,"-6.713450488906865,-15.809690286509731,-4.3834727072871,-4.488609266600808,-6.397616224315501"
22.5,27,Human,1,0,1,100,-22.5,"-3.253273606058693,-21.949166415086918,-14.264976880635626,-10.538234688547847,-8.44282272966782"
15.316666666666666,28,Human,4,1,0,102,-15.316666666666666,"-4.3003177676208235,-13.021785553103332,-6.522944756290779,-5.6718814090131815,-16.663521933645107"
16.766666666666666,29,Human,4,1,0,102,-16.766666666666666,"-3.629563876192696,-8.383226991738274,-12.93718483884337,-4.7523517612664765,-16.616094439668096"
13.1,30,Human,4,0,0,154,-13.1,"-6.746727456430211,-3.596627677133287,-5.891138948618415,-5.326938114166168,-13.046241291529515"
9.55,31,Human,1,0,1,77,-9.55,"-5.542754202374976,-9.580036096520587,-4.111499545822649,-2.885093792736676,-4.296861745418109"
10.983333333333333,32,Human,1,1,1,74,-10.983333333333333,"-3.6918131111335817,-10.801885741942455,-6.476755865997077,-5.38422074661398,-4.042853613727709"
8.483333333333333,33,Human,1,0,1,65,-8.483333333333333,"-4.644095107877565,-8.491411569152218,-7.255866303324786,-2.885093792736676,-4.296861745418109"
11.1,34,Human,4,0,0,108,-11.1,"-3.4883999800069203,-3.596627677133287,-4.2826129405496065,-5.896883824666268,-11.517259294376077"
23.95,35,Human,1,0,1,123,-23.95,"-5.969285551513622,-23.948977474443886,-13.563887767461198,-9.472460027351474,-6.516861745418109"
15.366666666666667,36,Human,1,1,1,86,-15.366666666666667,"-3.6918131111335817,-15.56109119045556,-6.29677816582968,-3.577428249917677,-6.164282890982167"
8.483333333333333,37,Human,4,0,0,64,-8.483333333333333,"-3.95405331733887,-4.07730214170663,-3.799279607216273,-4.333604780832834,-8.469428622876327"
13.2,38,Human,2,1,0,65,-13.2,"-4.433651100954157,-7.089893658404941,-15.717990529004826,-4.2523517612664765,-9.811880071081012"
12.75,39,Human,4,1,1,109,-12.75,"-3.6918131111335817,-6.822540306767083,-6.273444832496347,-3.577428249917677,-13.224049004263554"
13.6,40,Human,1,1,0,112,-13.6,"-4.876984434287491,-14.287379253575674,-8.581689138365956,-7.380038460543879,-11.809237390198144"
16.95,41,Human,2,1,0,106,-16.95,"-5.9362542140966585,-10.748465274712498,-17.101503245558014,-5.858548075679848,-6.306062611064078"
8.433333333333334,42,Human,1,0,1,70,-8.433333333333334,"-4.022618884846954,-8.439296610763302,-4.111499545822649,-3.768075034189341,-5.320124850400924"
15.233333333333333,43,Human,1,1,1,96,-15.233333333333333,"-8.445274979567062,-15.713429729574338,-4.3834727072871,-7.450887413280648,-6.434282890982168"
17.083333333333332,44,Human,4,1,0,93,-17.083333333333332,"-5.2374033712773285,-5.904033739672842,-8.701689138365957,-5.673214742346515,-16.259883865358557"
18.733333333333334,45,Human,4,0,1,96,-18.733333333333334,"-6.0592855515136215,-8.24542201524601,-4.111499545822649,-6.084741700856008,-17.561155493963923"
11.383333333333333,46,Human,4,0,0,116,-11.383333333333333,"-4.6807199840055365,-5.847175046698638,-4.189279607216273,-5.988217157999601,-12.009685829140345"
10.2,47,Human,4,0,0,96,-10.2,"-3.4883999800069203,-3.596627677133287,-3.672612940549606,-3.837839309374376,-10.285586702500161"
23.783333333333335,48,Human,2,0,1,110,-23.783333333333335,"-5.722618884846955,-8.49542201524601,-23.712046820847657,-2.885093792736676,-10.673058183734257"
21.466666666666665,49,Human,1,0,1,92,-21.466666666666665,"-4.578095107877564,-21.18668309443602,-10.221359709326496,-2.885093792736676,-4.260195078751442"
16.766666666666666,50,Human,1,1,1,98,-16.766666666666666,"-6.730117155573533,-17.750372119228068,-7.18677816582968,-3.577428249917677,-6.414282890982167"
12.233333333333333,51,Human,1,1,0,108,-12.233333333333333,"-4.913651100954157,-13.305674806902696,-8.631689138365957,-6.146548075679848,-8.414850088851264"
8.683333333333334,52,Human,1,0,1,46,-8.683333333333334,"-3.8526188848469545,-8.68300680471845,-4.111499545822649,-3.5414083675226746,-5.091489396334487"
15.916666666666666,53,Human,2,1,0,80,-15.916666666666666,"-3.629563876192696,-7.883226991738274,-15.671647358299046,-3.890439701583096,-11.898483245491848"
12.6,54,Human,1,1,1,75,-12.6,"-3.6918131111335817,-12.414532132189077,-5.750111499163014,-5.95822074661398,-7.552341050228588"
