travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
11.016666666666667,0,Human,4,0,0,99,-11.016666666666667,"-5.188575987204429,-3.596627677133287,-3.68594627388294,-4.580271447499501,-11.040506144639766"
5.916666666666667,1,Human,3,1,0,58,-5.916666666666667,"-3.629563876192696,-11.829254987796247,-6.522944756290779,-4.622548075679848,-10.09790405686481"
10.95,2,Human,4,0,0,112,-10.95,"-6.700635298477502,-3.596627677133287,-2.965766175687008,-5.5155504913329345,-11.832525113668423"
9.766666666666667,3,Human,1,0,0,118,-9.766666666666667,"-4.67405331733887,-10.21264111377045,-4.189279607216273,-4.796938114166167,-6.335888009459058"
12.466666666666667,4,Human,2,1,0,31,-12.466666666666667,"-4.717587547429993,-7.156560325071608,-13.133103048173727,-4.405685094599811,-6.306062611064078"
7.266666666666667,5,Human,4,0,0,50,-7.266666666666667,"-4.259909320537763,-5.093470957243036,-3.51594627388294,-3.837839309374376,-7.194960639725153"
9.7,6,Human,4,0,0,93,-9.7,"-3.4883999800069203,-4.776508380031971,-3.6592796072162734,-4.243604780832834,-9.716970085587695"
8.366666666666667,7,Human,4,0,0,80,-8.366666666666667,"-3.4883999800069203,-4.0106354750399635,-2.965766175687008,-4.949240393066348,-8.402172887235272"
15.483333333333333,8,Human,1,1,0,89,-15.483333333333333,"-3.629563876192696,-16.368130981654886,-8.915022471699292,-5.01568509459981,-7.958183422184597"
9.9,9,Human,2,1,1,64,-9.9,"-4.976093724458826,-6.312540306767083,-9.807084372865681,-4.615275933267475,-5.748759646119067"
12.3,10,Human,4,0,0,116,-12.3,"-5.611909320537762,-4.8473021417066295,-4.255946273882939,-4.756938114166168,-12.105730048116783"
14.933333333333334,11,Human,1,1,1,113,-14.933333333333334,"-3.6918131111335817,-14.581749616604684,-7.710089199330412,-8.373767944499615,-5.7776162243155005"
17.75,12,Human,2,1,0,91,-17.75,"-4.376984434287491,-9.919248260057287,-16.578446134698314,-3.890439701583096,-9.602546737747677"
22.4,13,Human,1,0,1,123,-22.4,"-5.999285551513621,-23.617943392358423,-8.312532969991452,-6.584741700856007,-6.566861745418109"
11.0,14,Human,4,0,0,104,-11.0,"-4.63405331733887,-6.903278957243036,-3.6192796072162734,-4.4836047808328345,-11.05175621446907"
18.283333333333335,15,Human,2,1,0,64,-18.283333333333335,"-4.897003371277328,-5.904033739672842,-18.666003812674383,-4.562548075679849,-6.306062611064078"
16.766666666666666,16,Human,1,1,1,101,-16.766666666666666,"-6.666783822240198,-17.703779543491855,-6.810111499163014,-5.981942599934142,-6.354282890982168"
17.85,17,Human,4,1,0,61,-17.85,"-3.629563876192696,-8.113914926723954,-9.038355805032623,-3.890439701583096,-18.025052934742845"
17.016666666666666,18,Human,4,1,0,116,-17.016666666666666,"-3.629563876192696,-7.749893658404941,-6.522944756290779,-5.302351761266477,-17.17662286955662"
18.866666666666667,19,Human,2,1,0,88,-18.866666666666667,"-4.952920880763326,-8.186560325071607,-17.06812246137791,-3.890439701583096,-8.198183422184597"
14.033333333333333,20,Human,1,1,1,84,-14.033333333333333,"-4.6567838222401985,-6.872540306767083,-15.250606668123229,-7.0122207466139805,-7.264092979452401"
6.216666666666667,21,Human,3,0,0,69,-6.216666666666667,"-3.4883999800069203,-4.080635475039963,-4.430090352439685,-6.2002433535354475,-5.522554676125726"
12.316666666666666,22,Human,4,0,0,126,-12.316666666666666,"-5.591242653871096,-6.025841713365305,-3.91594627388294,-5.970217157999601,-12.147673918760503"
17.6,23,Human,4,1,0,85,-17.6,"-4.8609208807633255,-7.853226991738275,-6.522944756290779,-4.869881409013182,-16.12570933055721"
8.35,24,Human,4,0,0,77,-8.35,"-3.887386650672203,-4.343841713365304,-3.7092796072162733,-3.837839309374376,-8.349947704387553"
13.85,25,Human,1,1,1,79,-13.85,"-3.6918131111335817,-14.125779795331654,-6.356778165829681,-3.577428249917677,-5.890949557648834"
18.2,26,Human,1,1,1,105,-18.2,"-6.713450488906865,-16.254209141354387,-4.3834727072871,-4.488609266600808,-6.397616224315501"
21.016666666666666,27,Human,1,0,1,100,-21.016666666666666,"-3.253273606058693,-21.42315189695294,-14.264976880635626,-10.538234688547847,-8.44282272966782"
18.316666666666666,28,Human,4,1,0,102,-18.316666666666666,"-4.3003177676208235,-13.021785553103332,-6.522944756290779,-5.6718814090131815,-16.692765250687707"
15.35,29,Human,4,1,0,102,-15.35,"-3.629563876192696,-8.383226991738274,-12.93718483884337,-4.7523517612664765,-17.109978949154723"
13.066666666666666,30,Human,4,0,0,154,-13.066666666666666,"-6.746727456430211,-3.596627677133287,-5.891138948618415,-5.326938114166168,-13.068647099677158"
9.6,31,Human,1,0,1,77,-9.6,"-5.867536695233315,-9.581889768439844,-7.54919963665812,-2.885093792736676,-4.296861745418109"
9.766666666666667,32,Human,1,1,1,74,-9.766666666666667,"-3.6918131111335817,-10.649232166541205,-7.408071359464329,-5.38422074661398,-4.042853613727709"
8.483333333333333,33,Human,1,0,1,65,-8.483333333333333,"-5.168609419635385,-8.469336056739271,-7.255866303324786,-2.885093792736676,-4.296861745418109"
12.35,34,Human,4,0,0,108,-12.35,"-3.4883999800069203,-3.596627677133287,-4.2826129405496065,-5.896883824666268,-11.85317607364311"
22.433333333333334,35,Human,1,0,1,123,-22.433333333333334,"-5.969285551513622,-23.638994506865554,-13.563887767461198,-9.472460027351474,-6.516861745418109"
15.35,36,Human,1,1,1,86,-15.35,"-3.6918131111335817,-15.845849618277267,-6.29677816582968,-3.577428249917677,-6.164282890982167"
8.5,37,Human,4,0,0,64,-8.5,"-3.95405331733887,-4.07730214170663,-3.799279607216273,-4.333604780832834,-8.48097129726348"
13.75,38,Human,2,1,0,65,-13.75,"-4.433651100954157,-8.041914926723955,-14.644011150850474,-4.2523517612664765,-9.811880071081012"
12.75,39,Human,4,1,1,109,-12.75,"-3.6918131111335817,-6.822540306767083,-6.273444832496347,-3.577428249917677,-12.752170472146355"
13.6,40,Human,1,1,0,112,-13.6,"-4.876984434287491,-14.239523875597932,-8.581689138365956,-7.380038460543879,-11.809237390198144"
18.333333333333332,41,Human,2,1,0,106,-18.333333333333332,"-5.9362542140966585,-10.748465274712498,-17.43208239604723,-5.858548075679848,-6.306062611064078"
8.433333333333334,42,Human,1,0,1,70,-8.433333333333334,"-4.022618884846954,-8.412949225101983,-4.111499545822649,-3.768075034189341,-5.320124850400924"
15.25,43,Human,1,1,1,96,-15.25,"-8.445274979567062,-16.00472748390032,-4.3834727072871,-7.450887413280648,-6.434282890982168"
17.55,44,Human,4,1,0,93,-17.55,"-5.2374033712773285,-5.904033739672842,-8.701689138365957,-5.673214742346515,-16.888128431250866"
18.75,45,Human,4,0,1,96,-18.75,"-6.0592855515136215,-8.24542201524601,-4.111499545822649,-6.084741700856008,-18.26304929032763"
12.4,46,Human,4,0,0,116,-12.4,"-4.6807199840055365,-6.631073370692244,-4.189279607216273,-5.988217157999601,-12.090825811186527"
9.75,47,Human,4,0,0,96,-9.75,"-3.4883999800069203,-3.596627677133287,-3.672612940549606,-3.837839309374376,-10.175029646677402"
23.783333333333335,48,Human,2,0,1,110,-23.783333333333335,"-5.722618884846955,-8.49542201524601,-23.3998943778192,-2.885093792736676,-10.673058183734257"
20.033333333333335,49,Human,1,0,1,92,-20.033333333333335,"-4.578095107877564,-20.656785395480995,-10.221359709326496,-2.885093792736676,-4.260195078751442"
16.783333333333335,50,Human,1,1,1,98,-16.783333333333335,"-6.730117155573533,-17.762899086702486,-7.18677816582968,-3.577428249917677,-6.414282890982167"
12.233333333333333,51,Human,1,1,0,108,-12.233333333333333,"-4.913651100954157,-12.69005773424068,-8.631689138365957,-6.146548075679848,-8.414850088851264"
8.683333333333334,52,Human,1,0,1,46,-8.683333333333334,"-3.8526188848469545,-8.670899484015848,-4.962532969991453,-3.5414083675226746,-5.091489396334487"
15.9,53,Human,2,1,0,80,-15.9,"-3.629563876192696,-7.883226991738274,-15.634306757959292,-3.890439701583096,-11.898483245491848"
12.583333333333334,54,Human,1,1,1,75,-12.583333333333334,"-4.383450488906865,-12.515040451680811,-5.750111499163014,-5.95822074661398,-7.552341050228588"
8.466666666666667,55,Human,1,0,1,70,-8.466666666666667,"-3.253273606058693,-8.54237779452468,-4.111499545822649,-8.144460027351474,-4.2901950787514425"
19.983333333333334,56,Human,1,0,1,81,-19.983333333333334,"-4.012618884846955,-17.035276697852606,-10.272026375993162,-5.811408367522675,-4.5801950787514425"
12.25,57,Human,4,0,0,134,-12.25,"-4.870719984005536,-6.8438733706922426,-2.965766175687008,-4.923604780832834,-12.103697718472162"
13.616666666666667,58,Human,2,1,0,64,-13.616666666666667,"-5.0289208807633266,-5.904033739672842,-15.131507973961138,-4.616548075679848,-10.80350405686481"
22.35,59,Human,1,0,1,119,-22.35,"-6.579285551513621,-23.476030889139935,-8.005866303324787,-6.584741700856007,-6.560195078751443"
6.083333333333333,60,Human,4,0,0,39,-6.083333333333333,"-3.4883999800069203,-4.008508380031971,-2.965766175687008,-4.208217157999601,-6.063389506583055"
13.9,61,Human,1,1,1,79,-13.9,"-4.336783822240199,-14.24506824748418,-4.3834727072871,-5.1486092666008085,-4.042853613727709"
5.866666666666666,62,Human,3,0,0,94,-5.866666666666666,"-3.4883999800069203,-5.2601400373589104,-3.6526129405496066,-4.243604780832834,-9.581901618558048"
10.5,63,Human,1,1,1,107,-10.5,"-3.6918131111335817,-10.975162758471125,-5.620111499163014,-3.577428249917677,-5.124282890982167"
8.483333333333333,64,Human,3,0,0,111,-8.483333333333333,"-5.133242653871096,-4.750635475039964,-2.965766175687008,-8.522262973034811,-6.332554676125726"
11.0,65,Human,4,0,0,113,-11.0,"-3.4883999800069203,-4.8473021417066295,-4.249279607216273,-5.755550491332935,-11.821600697329018"
9.6,66,Human,1,0,1,79,-9.6,"-4.295952218180288,-9.382767686134986,-9.717359709326496,-8.148460027351474,-4.270195078751443"
7.016666666666667,67,Human,4,0,0,76,-7.016666666666667,"-3.4883999800069203,-3.596627677133287,-2.965766175687008,-4.2369381141661675,-7.401987598944602"
21.033333333333335,68,Human,1,0,1,115,-21.033333333333335,"-3.253273606058693,-22.692632330585866,-4.111499545822649,-6.631408367522674,-5.9968617454181095"
20.116666666666667,69,Human,1,0,1,84,-20.116666666666667,"-4.045952218180288,-20.43621728855226,-10.299359709326497,-12.883201084171612,-3.59191051510597"
13.9,70,Human,2,1,0,51,-13.9,"-4.110317767620824,-7.063226991738274,-14.289820255246738,-4.29568509459981,-6.306062611064078"
8.6,71,Human,1,0,1,56,-8.6,"-3.835952218180288,-8.594820831707338,-4.111499545822649,-4.114741700856008,-5.572258183734258"
9.65,72,Human,1,1,1,62,-9.65,"-4.954760391125493,-9.751177550990674,-4.3834727072871,-5.888576597291184,-5.488092979452401"
18.15,73,Human,2,1,1,104,-18.15,"-6.373450488906865,-16.12534413552623,-9.347422532663744,-7.902887413280648,-6.3576162243155006"
9.466666666666667,74,Human,4,0,0,94,-9.466666666666667,"-3.4883999800069203,-5.031175046698637,-2.965766175687008,-3.837839309374376,-9.777974410186665"
8.9,75,Human,3,0,0,110,-8.9,"-4.7173866506722035,-9.746219086469026,-5.071423685773019,-6.631373726399682,-6.302554676125725"
15.85,76,Human,2,1,0,77,-15.85,"-6.301973992760659,-7.259893658404941,-15.010880293276257,-4.212351761266477,-7.6315167555179295"
