travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
11.333333333333334,0,Human,4,0,0,99,-11.333333333333334,"-4.427386650672203,-3.596627677133287,-2.965766175687008,-3.837839309374376,-11.061733218928882"
11.816666666666666,1,Human,1,1,0,58,-11.816666666666666,"-3.629563876192696,-11.662362481215542,-6.522944756290779,-4.299018427933143,-8.943213404414344"
12.2,2,Human,4,0,0,112,-12.2,"-5.59057598720443,-3.596627677133287,-2.965766175687008,-4.756938114166168,-11.774803870684647"
9.7,3,Human,1,0,0,118,-9.7,"-3.4883999800069203,-9.970370108025561,-2.965766175687008,-4.796938114166167,-4.79902667849049"
12.75,4,Human,2,1,0,31,-12.75,"-4.717587547429993,-7.156560325071608,-13.120686921032654,-4.405685094599811,-6.306062611064078"
7.2,5,Human,4,0,0,50,-7.2,"-3.9207199840055367,-4.912672029887128,-3.51594627388294,-3.837839309374376,-7.143194070446545"
9.65,6,Human,4,0,0,93,-9.65,"-3.4883999800069203,-4.23730214170663,-2.965766175687008,-3.837839309374376,-9.711873469060547"
8.3,7,Human,4,0,0,80,-8.3,"-3.4883999800069203,-4.0106354750399635,-2.965766175687008,-4.661550491332934,-8.275896082061571"
15.466666666666667,8,Human,1,1,0,89,-15.466666666666667,"-3.629563876192696,-16.197270965222636,-6.522944756290779,-5.01568509459981,-6.306062611064078"
9.85,9,Human,2,1,1,64,-9.85,"-4.4034504889068655,-6.312540306767083,-9.854049529590641,-3.577428249917677,-4.042853613727709"
12.3,10,Human,4,0,0,116,-12.3,"-5.611909320537762,-3.596627677133287,-4.255946273882939,-3.837839309374376,-11.95314180689412"
13.4,11,Human,1,1,1,113,-13.4,"-3.6918131111335817,-14.132519383249175,-7.710089199330412,-6.497554079947314,-5.7776162243155005"
16.05,12,Human,2,1,0,91,-16.05,"-3.629563876192696,-5.904033739672842,-16.117664867265955,-3.890439701583096,-8.144850088851262"
23.866666666666667,13,Human,1,0,1,123,-23.866666666666667,"-3.253273606058693,-23.864163303601654,-4.111499545822649,-2.885093792736676,-6.566861745418109"
11.316666666666666,14,Human,4,0,0,104,-11.316666666666666,"-3.4883999800069203,-6.545765363220461,-2.965766175687008,-4.4836047808328345,-11.134487164139145"
18.016666666666666,15,Human,2,1,0,64,-18.016666666666666,"-4.370317767620824,-5.904033739672842,-18.47373629988543,-4.2490184279331435,-6.306062611064078"
16.75,16,Human,1,1,1,101,-16.75,"-3.6918131111335817,-17.50954244375789,-4.3834727072871,-5.981942599934142,-6.354282890982168"
17.816666666666666,17,Human,4,1,0,61,-17.816666666666666,"-3.629563876192696,-7.12989365840494,-9.038355805032623,-3.890439701583096,-18.07352730368723"
15.566666666666666,18,Human,4,1,0,116,-15.566666666666666,"-3.629563876192696,-5.904033739672842,-6.522944756290779,-5.302351761266477,-16.952773447021002"
17.55,19,Human,2,1,0,88,-17.55,"-4.353651100954157,-8.186560325071607,-17.342173481330992,-3.890439701583096,-6.306062611064078"
14.233333333333333,20,Human,2,1,1,84,-14.233333333333333,"-4.6567838222401985,-5.082342050125519,-14.828260869451167,-5.465275933267476,-7.264092979452401"
6.266666666666667,21,Human,3,0,0,69,-6.266666666666667,"-3.4883999800069203,-3.596627677133287,-4.430090352439685,-6.208978922189303,-5.522554676125726"
12.283333333333333,22,Human,4,0,0,126,-12.283333333333333,"-4.66405331733887,-6.025841713365305,-3.91594627388294,-5.033604780832834,-12.257387432103112"
15.616666666666667,23,Human,4,1,0,85,-15.616666666666667,"-3.629563876192696,-7.853226991738275,-6.522944756290779,-4.869881409013182,-15.82757104081612"
