travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.386025629949604,-0.6666666519505601"
0.5333333333333333,20,Human,0,0,0,0,-0.5333333333333333,"-0.3339150467962563,-0.7022396905078556"
0.7,21,Human,1,0,0,0,-0.7,"-0.556581713462923,-0.7395193221920616"
0.75,1,Human,0,0,0,1,-0.75,"-1.0756409691586803,-0.5937277657787378"
0.7666666666666667,2,Human,0,0,0,2,-0.7666666666666667,"-1.150670554469309,-0.5344597072234222"
0.7833333333333333,3,Human,0,0,0,3,-0.7833333333333333,"-1.3011998359610761,-0.5805544324454044"
1.0833333333333333,4,Human,0,0,0,4,-1.0833333333333333,"-1.3117337383957381,-0.8617995152043911"
0.8666666666666667,5,Human,1,0,0,5,-0.8666666666666667,"-0.5507271418286537,-0.8675807401044806"
1.0166666666666666,6,Human,1,0,0,6,-1.0166666666666666,"-0.8651189632829375,-1.0066745610386556"
1.0833333333333333,7,Human,0,0,0,7,-1.0833333333333333,"-1.6083371112212252,-0.8030302126229902"
1.1,8,Human,0,0,0,8,-1.1,"-1.6179122443572216,-0.8639941627453805"
1.1,9,Human,0,0,0,9,-1.1,"-1.6321223938191465,-0.6327263738900889"
1.65,10,Human,0,0,0,10,-1.65,"-1.4165351492008642,-1.1709975668048989"
1.65,11,Human,0,0,0,11,-1.65,"-1.7657731843490625,-0.6949930405567556"
1.1666666666666667,12,Human,1,0,0,12,-1.1666666666666667,"-0.5573938084953203,-1.1867448587399578"
1.65,13,Human,0,0,0,13,-1.65,"-1.7748440875613474,-1.2171682185668333"
1.6666666666666667,14,Human,0,0,0,14,-1.6666666666666667,"-1.4974328340273577,-1.188290043958244"
1.3,15,Human,1,0,0,15,-1.3,"-0.7779150467962563,-1.2940203971804922"
1.3166666666666667,16,Human,1,0,0,16,-1.3166666666666667,"-1.25779117062635,-1.3221967885775714"
1.3333333333333333,17,Human,1,0,0,17,-1.3333333333333333,"-1.1080789632829373,-1.3266808420532892"
1.3666666666666667,18,Human,1,0,0,18,-1.3666666666666667,"-0.9688653707703384,-1.3621608156094582"
1.45,19,Human,1,0,0,19,-1.45,"-0.7685817134629229,-1.4521249444642046"
