travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.32191504679625627,-0.6666663989822467"
0.7,20,Human,1,0,0,0,-0.7,"-0.284060475161987,-0.7000123655169954"
1.1666666666666667,21,Human,0,0,0,0,-1.1666666666666667,"-0.556581713462923,-0.7493076698015865"
1.7833333333333334,1,Human,0,0,0,1,-1.7833333333333334,"-1.291057545940634,-0.5296597072234221"
1.8,2,Human,0,0,0,2,-1.8,"-1.7379149051911058,-0.4597413006959443"
0.8166666666666667,3,Human,1,0,0,3,-0.8166666666666667,"-1.7360757028646525,-0.5805544324454044"
0.85,4,Human,1,0,0,4,-0.85,"-0.8495320374370051,-0.8622299658337128"
0.9,5,Human,1,0,0,5,-0.9,"-0.5507271418286537,-0.8993117956604192"
1.0166666666666666,6,Human,1,0,0,6,-1.0166666666666666,"-0.6313987041036717,-1.0159390063563338"
1.7666666666666666,7,Human,0,0,0,7,-1.7666666666666666,"-1.7646887952590986,-0.8030302126229902"
1.7833333333333334,8,Human,0,0,0,8,-1.7833333333333334,"-1.7798657065125252,-0.8216593700983923"
1.8166666666666667,9,Human,0,0,0,9,-1.8166666666666667,"-1.7992060711764863,-0.5284079673626111"
1.1666666666666667,10,Human,1,0,0,10,-1.1666666666666667,"-0.9724653707703383,-1.167863206063614"
1.8,11,Human,0,0,0,11,-1.8,"-1.8025411468177859,-0.6949930405567556"
1.2,12,Human,1,0,0,12,-1.2,"-0.5573938084953203,-1.1976748788779719"
1.8333333333333333,13,Human,0,0,0,13,-1.8333333333333333,"-1.7581447436001316,-1.2174503415106768"
1.1833333333333333,14,Human,1,0,0,14,-1.1833333333333333,"-1.158185629949604,-1.19702359898455"
1.2833333333333334,15,Human,1,0,0,15,-1.2833333333333334,"-0.7779150467962563,-1.3077853735528815"
1.3,16,Human,1,0,0,16,-1.3,"-0.9611320374370051,-1.3290605112652747"
1.3166666666666667,17,Human,1,0,0,17,-1.3166666666666667,"-1.1080789632829373,-1.343969315012952"
1.3666666666666667,18,Human,1,0,0,18,-1.3666666666666667,"-0.5273938084953204,-1.3868021031272466"
1.45,19,Human,1,0,0,19,-1.45,"-0.7685817134629229,-1.4713656923090819"
